Name,Easting,Northing,El-Height,Latitude,Longitude,E_bin,N_bin,Type
pnt001,569387.356,4026942.379,1489.98,36.385112851,51.773650898,0,2,GCP
pnt002,569562.181,4026796.82,1495.999,36.383788063,51.775586958,0,2,CHECK
pnt003,569701.272,4026675.438,1501.593,36.382683786,51.777126752,0,2,GCP
pnt004,569860.534,4026578.3,1506.687,36.381796569,51.778893545,1,2,GCP
pnt005,570010.551,4026450.509,1512.73,36.380633678,51.780554464,1,1,CHECK
pnt006,570187.234,4026402.035,1519.998,36.380183817,51.782519782,2,1,GCP
pnt007,570298.729,4026305.26,1523.244,36.379303285,51.783753981,2,1,CHECK
pnt008,570460.104,4026304.572,1527.415,36.379285269,51.785552927,3,1,GCP
pnt009,570637.819,4026161.827,1535.947,36.377985442,51.787521107,3,0,GCP
pnt010,570767.166,4026015.894,1543.747,36.376660412,51.788949747,3,0,CHECK
pnt011,570936.253,4025931.121,1551.538,36.375883762,51.790826927,3,0,GCP
pnt012,571130.571,4025791.645,1560.965,36.374612094,51.79298031,3,0,GCP
pnt013,570709.145,4026237.576,1539.692,36.378663037,51.788323122,3,0,GCP
pnt014,570964.326,4026128.418,1557.675,36.377660232,51.791157881,3,0,GCP
pnt015,570872.168,4026237.585,1556.588,36.378651115,51.790140484,3,0,GCP
pnt016,570774.391,4026344.055,1554.235,36.379618092,51.789060178,3,1,CHECK
pnt017,570303.892,4026488.517,1530.291,36.380954881,51.783828114,2,1,GCP
pnt018,570393.284,4026555.054,1542.122,36.381548142,51.784830701,2,2,GCP
pnt019,570551.47,4026534.255,1545.601,36.381349046,51.786592316,3,1,GCP
pnt020,570631.62,4026421.281,1547.786,36.380324752,51.787475585,3,1,GCP
pnt021,569756.978,4026820.879,1513.773,36.383990829,51.777760841,0,2,GCP
pnt022,569912.551,4026892.607,1528.747,36.384626109,51.77950172,1,2,GCP
pnt023,570101.964,4026825.895,1536.583,36.384010936,51.781607414,1,2,CHECK
pnt024,570162.953,4026649.973,1535.661,36.382420633,51.782271482,2,2,CHECK
pnt025,569827.961,4026708.381,1510.881,36.382971554,51.778542095,0,2,GCP
pnt026,570005.955,4026604.084,1513.759,36.382018418,51.78051707,1,2,GCP
pnt027,570138.755,4026519.097,1518.405,36.381242618,51.7819899,2,1,GCP
pnt028,569496.582,4027006.504,1498.903,36.385683019,51.774874373,0,2,GCP
pnt029,569401.827,4026863.752,1490.564,36.384403024,51.773805218,0,2,GCP
pnt030,569561.066,4026623.956,1497.351,36.382229861,51.775559061,0,2,GCP
pnt031,570105.048,4026254.623,1517.204,36.378860965,51.781590261,1,1,GCP
pnt032,569979.087,4026191.349,1516.476,36.378299758,51.780180369,1,0,GCP
pnt033,569667.639,4026320.356,1505.372,36.379485321,51.776719961,0,1,CHECK
pnt034,569840.158,4026291.337,1509.19,36.379211214,51.778640597,1,1,CHECK
pnt035,569786.355,4025988.075,1538.279,36.376481346,51.778013565,0,0,CHECK
pnt036,569914.102,4026075.741,1530.445,36.377262339,51.779445519,1,0,CHECK
pnt037,570112.291,4026046.424,1538.432,36.376983622,51.781652229,1,0,GCP
pnt038,570259.796,4025970.871,1554.346,36.376291771,51.783289729,2,0,CHECK
pnt039,570234.146,4026120.106,1541.652,36.377638934,51.783017284,2,0,GCP
pnt040,570361.863,4026120.297,1540.699,36.377631314,51.784441049,2,0,GCP
pnt041,569774.693,4026478.88,1505.403,36.380906581,51.777927629,0,1,GCP
pnt042,570422.662,4026408.359,1531.958,36.380223599,51.785144929,2,1,GCP
